Animal Name,Representative Name
Souther stingray,Souther Stingray
Striper,Striper
Stripes,Striper
White bass,White Bass
Long-nose gar,Long-Nose Gar
Snook fish,Snook Fish
Tge biggest brain corals,Tge Biggest Brain Corals
Elkhorns,Elkhorns
Etc,Etc
Wolf eel,Wolf Eel
Giant pacific octopus,Giant Pacific Octopus
Hammerheads,Hammerheads
Tench,Tench
Sailfin sculpin,Sailfin Sculpin
Grunt sculpin,Grunt Sculpin
Dentex,Dentex
Thornback ray,Thornback Ray
Yellow goat fish,Yellow Goat Fish
Spotted goatfish,Spotted Goatfish
Bluehead,Bluehead
Yellowhead wrasse,Yellowhead Wrasse
Blue chromis,Blue Chromis
French grunt,French Grunt
Spinner dolphin,Spinner Dolphin
Hawaiian endemic (native) species,Hawaiian Endemic Native Species
Hawaiian monk seal,Hawaiian Monk Seal
Spotted moray eel,Spotted Moray Eel
Jack species,Jack Species
Marbled electric ray,Marbled Electric Ray
Giant clam,Giant Clam
Anthias,Anthias
Salmon,Salmon
Rainbow trout,Rainbow Trout
Mola mola,Mola Mola
Bumper head parrarot fish,Bumper Head Parrarot Fish
Devil ray,Devil Ray
Hecht,Hecht
Barsch,Barsch
Krebs,Krebs
Schleie,Schleie
Egli,Egli
Wide range of reef fish,Wide Range Of Reef Fish
Atlantic torpedo ray,Atlantic Torpedo Ray
Atlantic ray,Atlantic Ray
Sole fish,Sole Fish
Spotted eel,Spotted Eel
Pez angel,Pez Angel
Queen angelfish,Queen Angelfish
Blue angelfish,Blue Angelfish
Stone crab,Stone Crab
Indian walkman,Indian Walkman
Pygmy pipehorse,Pygmy Pipehorse
Juvenile fish (macro),Juvenile Fish Macro
Harlequin shrimp,Harlequin Shrimp
Moraine eel,Moraine Eel
Rhinophias,Rhinophias
Astroides calycularis,Astroides Calycularis
Scrapie,Scrapie
Eagle stripes,Eagle Stripes
Slipper lobster,Slipper Lobster
Peacock flounder,Peacock Flounder
Peacock mantis shrimp,Peacock Mantis Shrimp
Macro,Macro
Goby,Goby
Red coral,Red Coral
Gorgonians,Gorgonians
Ballan wrasse,Ballan Wrasse
Forkbeard,Forkbeard
Coral reef,Coral Reef
Zurich fish,Zurich Fish
Aborre,Aborre
Spotted eagle ray,Spotted Eagle Ray
Burbot,Burbot
Mandarinfish,Mandarinfish
Crustaceans,Crustaceans
Snoek,Snoek
Baars,Baars
Salema,Salema
Morena,Morena
